key,ja,en
○丸は通過で、□四角は止まって効くマス。攻撃マスのダメージには、そのターンに使ったダイスの数（コンボ）が加算されます。ダイスは出目に加えて、使った行動のあいだだけ効果を発揮します。,○丸は通過で、□四角は止まって効くマス。攻撃マスのダメージには、そのターンに使ったダイスの数（コンボ）が加算されます。ダイスは出目に加えて、使った行動のあいだだけ効果を発揮します。,
◇ 敵のデバフ — マスに重ねてかけられる,◇ 敵のデバフ — マスに重ねてかけられる,
⚄ ダイス — 使った行動のあいだだけ効果が続く,⚄ ダイス — 使った行動のあいだだけ効果が続く,
設定,設定,Settings
この挑戦をやめてタイトルへ,この挑戦をやめてタイトルへ,
%sダイス　%s,%sダイス　%s,
出目: %s,出目: %s,
戦闘に勝利,戦闘に勝利,Victory
マスかダイスを1つ選びます。マスはコースに置いて残り、ダイスは手札に加わります。,マスかダイスを1つ選びます。マスはコースに置いて残り、ダイスは手札に加わります。,
%s に敗れた,%s に敗れた,
第%d層 / %d層,第%d層 / %d層,
出発地点を選ぶ（全%d層）,出発地点を選ぶ（全%d層）,
音量を調整します。設定は自動的に保存されます。,音量を調整します。設定は自動的に保存されます。,
言語 / Language,言語 / Language,
回想　%d / %d,回想　%d / %d,
未開放,未開放,
タップしてダイスを振る,タップしてダイスを振る,Tap to roll
%sダイス：出目 %s%s,%sダイス：出目 %s%s,
敵を倒した。マスの毒も消えた。,敵を倒した。マスの毒も消えた。,
%s を下した,%s を下した,
敵のターン,敵のターン,Enemy Turn
行動を終えました。,行動を終えました。,Turn ended.
%s を置くマスをタップ,%s を置くマスをタップ,
始点以外のどのマスにも置けます。置いたマスは次の戦いにも残ります。,始点以外のどのマスにも置けます。置いたマスは次の戦いにも残ります。,
%sダイスを手に入れた（%s）。手札は全%d個から引かれます。,%sダイスを手に入れた（%s）。手札は全%d個から引かれます。,
ここに置く？ もう一度タップで確定,ここに置く？ もう一度タップで確定,
%s を配置しました。,%s を配置しました。,
ダイスを戻しました。もう一度ダイスを選んでください。,ダイスを戻しました。もう一度ダイスを選んでください。,
炎,炎,
氷,氷,
電,電,
連,連,
歩,歩,
引,引,
振,振,
行,行,
装甲%d：受けるダメージが1回ごとに%d減る（最低1は通る）,装甲%d：受けるダメージが1回ごとに%d減る（最低1は通る）,
再生%d：毎ターンHPが%d回復する,再生%d：毎ターンHPが%d回復する,
棘%d：攻撃するたびこちらが%dダメージ受ける,棘%d：攻撃するたびこちらが%dダメージ受ける,
勝利,勝利,
敗北,敗北,
